order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
4,1,P4,,,,,,,,1,4,5,3,,The woman above the coat and the piano is on number 1.,P4_1.jpg,P4_2.jpg,N
4,2,P4,,,,,,,,1,4,5,3,,The woman above the coat and the piano is on number 1.,P4_1.jpg,P4_2.jpg,N
4,3,P4,,,,,,,,1,4,5,3,,The woman above the coat and the piano is on number 1.,P4_1.jpg,P4_2.jpg,N
4,4,P4,,,,,,,,1,4,5,3,,The woman above the coat and the piano is on number 1.,P4_1.jpg,P4_2.jpg,N
5,1,P5,,,,,,,,4,1,,2,,The tractor below the wheelbarrow is on number 4.,P5_1.jpg,P5_2.jpg,N
5,2,P5,,,,,,,,4,1,,2,,The tractor below the wheelbarrow is on number 4.,P5_1.jpg,P5_2.jpg,N
5,3,P5,,,,,,,,4,1,,2,,The tractor below the wheelbarrow is on number 4.,P5_1.jpg,P5_2.jpg,N
5,4,P5,,,,,,,,4,1,,2,,The tractor below the wheelbarrow is on number 4.,P5_1.jpg,P5_2.jpg,N
6,1,P6,,,,,,,,2,5,,3,,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
6,2,P6,,,,,,,,2,5,,3,,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
6,3,P6,,,,,,,,2,5,,3,,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
6,4,P6,,,,,,,,2,5,,3,,The waiter below the pipe is on number 5.,P6_1.jpg,P6_2.jpg,N
7,1,X01,9,,,,,,,6,1,3,5,below,"The shell is on number 6, and it is on the row below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
7,2,X01,9,,,,,,,6,1,3,5,below,"The shell is on number 6, and it is on the row below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
7,3,X01,9,,,,,,,6,1,3,5,below,"The shell is on number 6, and it is on the row below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
7,4,X01,9,,,,,,,6,1,3,5,below,"The shell is on number 6, and it is on the row below the basil and the oven.",X01_9_1.jpg,X01_9_2.jpg,N
8,1,1,1,1,1,unambiguous,headphones,glove,7,5,6,,3,next to,The headphones next to the glove are on number 5.,E01_1_1.jpg,E01_1_2.jpg,Y
8,2,1,2,1,2,ambiguous,headphones,gloves,7,5,6,,3,next to,The headphones next to the gloves are on number 5.,E01_2_1.jpg,E01_2_2.jpg,Y
8,3,1,3,2,1,unambiguous,headphones,glove,7,5,6,,3,next to,The headphones next to the glove are on number 5.,E01_3_1.jpg,E01_3_2.jpg,Y
8,4,1,4,2,2,ambiguous,headphones,gloves,7,5,6,,3,next to,The headphones next to the gloves are on number 5.,E01_4_1.jpg,E01_4_2.jpg,Y
9,1,X03,9,,,,,,,5,6,,3,,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
9,2,X03,9,,,,,,,5,6,,3,,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
9,3,X03,9,,,,,,,5,6,,3,,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
9,4,X03,9,,,,,,,5,6,,3,,On number 5 there is a cactus.,X03_9_1.jpg,X03_9_2.jpg,N
10,1,X02,9,,,,,,,3,,,4,,The keyboard is on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
10,2,X02,9,,,,,,,3,,,4,,The keyboard is on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
10,3,X02,9,,,,,,,3,,,4,,The keyboard is on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
10,4,X02,9,,,,,,,3,,,4,,The keyboard is on number 3.,X02_9_1.jpg,X02_9_2.jpg,N
11,1,2,2,1,2,ambiguous,jeans,sofas,11,2,5,,3,above,The jeans above the sofas are on number 2.,E02_2_1.jpg,E02_2_2.jpg,Y
11,2,2,3,2,1,unambiguous,jeans,sofa,11,2,5,,3,above,The jeans above the sofa are on number 2.,E02_3_1.jpg,E02_3_2.jpg,Y
11,3,2,4,2,2,ambiguous,jeans,sofas,11,2,5,,3,above,The jeans above the sofas are on number 2.,E02_4_1.jpg,E02_4_2.jpg,Y
11,4,2,1,1,1,unambiguous,jeans,sofa,11,2,5,,3,above,The jeans above the sofa are on number 2.,E02_1_1.jpg,E02_1_2.jpg,Y
12,1,X13,9,,,,,,,3,,,2,,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,2,X13,9,,,,,,,3,,,2,,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,3,X13,9,,,,,,,3,,,2,,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
12,4,X13,9,,,,,,,3,,,2,,The queen is on number 3.,X13_9_1.jpg,X13_9_2.jpg,N
13,1,X27,9,,,,,,,6,3,,4,above,The olive is above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
13,2,X27,9,,,,,,,6,3,,4,above,The olive is above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
13,3,X27,9,,,,,,,6,3,,4,above,The olive is above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
13,4,X27,9,,,,,,,6,3,,4,above,The olive is above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
14,1,3,3,2,1,unambiguous,tights,melon,6,6,3,,2,below,The tights below the melon are on number 6.,E03_3_1.jpg,E03_3_2.jpg,Y
14,2,3,4,2,2,ambiguous,tights,melons,6,6,3,,2,below,The tights below the melons are on number 6.,E03_4_1.jpg,E03_4_2.jpg,Y
14,3,3,1,1,1,unambiguous,tights,melon,6,6,3,,2,below,The tights below the melon are on number 6.,E03_1_1.jpg,E03_1_2.jpg,Y
14,4,3,2,1,2,ambiguous,tights,melons,6,6,3,,2,below,The tights below the melons are on number 6.,E03_2_1.jpg,E03_2_2.jpg,Y
15,1,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,2,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,3,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,4,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
16,1,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,2,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,3,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,4,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
17,1,4,4,2,2,ambiguous,glasses,plates,4,3,5,,2,above,The glasses above the plates are on number 3.,E04_4_1.jpg,E04_4_2.jpg,Y
17,2,4,1,1,1,unambiguous,glasses,plate,4,3,5,,2,above,The glasses above the plate are on number 3.,E04_1_1.jpg,E04_1_2.jpg,Y
17,3,4,2,1,2,ambiguous,glasses,plates,4,3,5,,2,above,The glasses above the plates are on number 3.,E04_2_1.jpg,E04_2_2.jpg,Y
17,4,4,3,2,1,unambiguous,glasses,plate,4,3,5,,2,above,The glasses above the plate are on number 3.,E04_3_1.jpg,E04_3_2.jpg,Y
18,1,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
18,2,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
18,3,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
